"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2017-09-06",0,FALSE,"905531776730312706",FALSE,NA,NA,NA,NA,NA,0,FALSE,"PinoyinDubai","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Some anti-#Rafa #Nadal is starting to question his draw. Why not blame seeded players in his Quarter for the loss?… https://t.co/jN9wI8uEFA",TRUE
"2017-09-06",0,FALSE,"905531668160753664",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Clozzzer","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Et c'est kikiestendemi ? Hein c'est qui ? <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #USOpen #Usopen2017 #tennis #rafa #rafaelnadal https://t.co/EJd38v3xNE",FALSE
"2017-09-06",9,FALSE,"905529829931540480",FALSE,NA,NA,NA,NA,NA,3,FALSE,"radosko","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Why not just rename it to #NextNextNextMaybeOneDayOnAnotherPlanetGen #USOpen #rafa",FALSE
"2017-09-06",0,FALSE,"905528544960401412",FALSE,NA,NA,NA,NA,NA,0,FALSE,"justiine777","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Yeeees, please! <ed><U+00A0><U+00BD><ed><U+00B8><U+0080> #Rafa #Roger #USOpen https://t.co/3gKDE4mQ1G",FALSE
"2017-09-06",0,FALSE,"905525011989094400",FALSE,NA,NA,NA,"espn","2557521",0,FALSE,"MangaFox","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@ESPN @usopen 

When #Rafa speaks post-game, the moisture levels <ed><U+00A0><U+00BD><ed><U+00BA><U+00BA> in that stadium rise.  <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3>

Funny seeing ladies candid on camera. <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5> #USOpen",FALSE
"2017-09-06",0,FALSE,"905524975146172416",FALSE,NA,NA,NA,NA,NA,0,FALSE,"taranumgoel","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#Rafa will face #Federer like old times #USOpen",FALSE
"2017-09-06",2,FALSE,"905524221073383424",FALSE,NA,NA,NA,NA,NA,0,FALSE,"IrisMGC","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ce rose fluo<ed><U+00A0><U+00BD><ed><U+00B8><U+00A5>... Mais que fait Anna Wintour ? #Rafa #Nadal #USOpen https://t.co/xlPbcJOVHW",FALSE
"2017-09-06",0,FALSE,"905523919943344128",FALSE,NA,NA,NA,NA,NA,0,FALSE,"AME_0007","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nadal to semifinal #USOpen #rafa",FALSE
"2017-09-06",0,FALSE,"905523912926167040",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Josh_Wong94","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Vamos #rafa #USopen",FALSE
"2017-09-06",0,FALSE,"905523726606848000",FALSE,NA,NA,NA,NA,NA,0,FALSE,"martin97_ne","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Boom!

@RafaelNadal #rafa #VamosRafa venció a Rublev 6-1, 6-2, 6-2. La fiera sigue suelta<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>

#usopen https://t.co/y0m972ma39",FALSE
